DATASET_ID,COMMENT,FIELD,FORMAT,LINK,MIME_TYPE,TITLE
11,,API,xml,https://yukon.maps.arcgis.com/sharing/rest/content/items/35eeb2379e22417c8d8db39a207cd745/info/metadata/metadata.xml?format=default&amp;output=html,,"Anchorage, Alaska Earthquake 2018 [Ahsan]-Damage"
12,,API,html,https://yukon.maps.arcgis.com/home/item.html?id=4c7d7873ce9f40fd9aecbb7a734dc1d8,,Wilderness tourism map
12,,API,ftp,https://map-data.service.yukon.ca/GeoYukon/Forestry/Vegetation_Inventory_5k/,,Wilderness tourism map
12,,API,xml,https://yukon.maps.arcgis.com/sharing/rest/content/items/9b0d896fce9b428ea6defb091b84f583/info/metadata/metadata.xml?format=default&amp;output=html,,Wilderness tourism map
13,,API,html,https://yukon.maps.arcgis.com/home/item.html?id=98a1b613f81c489cb4173f4976419f23,,Fires
13,,API,ftp,https://map-data.service.yukon.ca/GeoYukon/Forestry/Vegetation_Inventory_40k/,,Fires
13,,API,xml,https://yukon.maps.arcgis.com/sharing/rest/content/items/bdd0a59551d34eb183e47aee9357ffa3/info/metadata/metadata.xml?format=default&amp;output=html,,Fires
14,,API,html,https://yukon.maps.arcgis.com/home/item.html?id=7afb727b4ab94b1b955699807f845b59,,Yellowknife
14,,API,ftp,https://map-data.service.yukon.ca/GeoYukon/Forestry/Vegetation_Inventory_Photo_Points_Whitehorse_10k/,,Yellowknife
14,,API,xml,https://yukon.maps.arcgis.com/sharing/rest/content/items/cc5c51a19d32444d9084c8e991191d98/info/metadata/metadata.xml?format=default&amp;output=html,,Yellowknife
15,,API,html,https://yukon.maps.arcgis.com/home/item.html?id=48f1a110f59a4560ab1b58000250715e,,Ag/Forestry Map: Teslin FMP
15,,API,ftp,https://map-data.service.yukon.ca/GeoYukon/Forestry/Vegetation_Inventory_Roads_40k/,,Ag/Forestry Map: Teslin FMP
15,,API,xml,https://yukon.maps.arcgis.com/sharing/rest/content/items/76c4469ef5614e62b3c67c21fbfa92b9/info/metadata/metadata.xml?format=default&amp;output=html,,Ag/Forestry Map: Teslin FMP
16,,API,html,https://yukon.maps.arcgis.com/home/item.html?id=e0b2bf4f43b84bccbea91f8f313ac791,,The Amazon Fires
16,,API,ftp,https://map-data.service.yukon.ca/GeoYukon/Forestry/Vegetation_Inventory_Whitehorse_10k/,,The Amazon Fires
16,,API,xml,https://yukon.maps.arcgis.com/sharing/rest/content/items/e2f23136cc7641c1a40bfec2c3c497aa/info/metadata/metadata.xml?format=default&amp;output=html,,The Amazon Fires
17,,API,html,https://yukon.maps.arcgis.com/home/item.html?id=4c7d7873ce9f40fd9aecbb7a734dc1d8,,Assignment
17,,API,ftp,https://map-data.service.yukon.ca/GeoYukon/Forestry/Vegetation_Inventory_5k/,,Assignment
17,,API,xml,https://yukon.maps.arcgis.com/sharing/rest/content/items/dab23678a4e049e59204411b80cc204e/info/metadata/metadata.xml?format=default&amp;output=html,,Assignment
18,,API,html,https://yukon.maps.arcgis.com/home/item.html?id=4c7d7873ce9f40fd9aecbb7a734dc1d8,,Geography Assignment 2
18,,API,ftp,https://map-data.service.yukon.ca/GeoYukon/Forestry/Vegetation_Inventory_5k/,,Geography Assignment 2
18,,API,xml,https://yukon.maps.arcgis.com/sharing/rest/content/items/3b909e88ca9049eea213ca7254f1e7bb/info/metadata/metadata.xml?format=default&amp;output=html,,Geography Assignment 2
19,,API,html,https://yukon.maps.arcgis.com/home/item.html?id=4c7d7873ce9f40fd9aecbb7a734dc1d8,,Best Places to Live in Canada
19,,API,ftp,https://map-data.service.yukon.ca/GeoYukon/Forestry/Vegetation_Inventory_5k/,,Best Places to Live in Canada
19,,API,xml,https://yukon.maps.arcgis.com/sharing/rest/content/items/a1aca7b8d0be418d9d4316de37529fae/info/metadata/metadata.xml?format=default&amp;output=html,,Best Places to Live in Canada
20,,API,html,https://yukon.maps.arcgis.com/home/item.html?id=d852e3f7beef4a2bb753f50ecdd5a784,,best places to live in Canada - Kevin
20,,API,ftp,https://map-data.service.yukon.ca/GeoYukon/Geological/Community_Hazards_Burwash_Destruction_Bay_25k/,,best places to live in Canada - Kevin
20,,API,xml,https://yukon.maps.arcgis.com/sharing/rest/content/items/6fcee44d34254040bb6ee3fc120c2d71/info/metadata/metadata.xml?format=default&amp;output=html,,best places to live in Canada - Kevin
21,,API,html,https://yukon.maps.arcgis.com/home/item.html?id=5fca20188bfc4cea9b74ddea3a76c3a5,,Increase of Fires in California by Natalie Blatner
21,,API,ftp,https://map-data.service.yukon.ca/GeoYukon/Geological/Community_Hazards_Dawson_30m/,,Increase of Fires in California by Natalie Blatner
21,,API,xml,https://yukon.maps.arcgis.com/sharing/rest/content/items/3bb2a15e52694af781a6acf8f9399d2f/info/metadata/metadata.xml?format=default&amp;output=html,,Increase of Fires in California by Natalie Blatner
22,,API,html,https://yukon.maps.arcgis.com/home/item.html?id=f6ead3e1959b4c908a791e541a489e8d,,Gr9 Geography Fep
22,,API,ftp,https://map-data.service.yukon.ca/GeoYukon/Geological/Community_Hazards_Faro_20k/,,Gr9 Geography Fep
22,,API,xml,https://yukon.maps.arcgis.com/sharing/rest/content/items/a26aaa64718e4cfd8c2b335a5b0a49df/info/metadata/metadata.xml?format=default&amp;output=html,,Gr9 Geography Fep
23,,API,html,https://yukon.maps.arcgis.com/home/item.html?id=3e05e075371d4b0aacc91db493ba8d14,,australia wildfire and population
23,,API,ftp,https://map-data.service.yukon.ca/GeoYukon/Geological/Community_Hazards_Mayo_20k/,,australia wildfire and population
